gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
SYCE1L	8	7919	18	21179	6.6303e-01	1.1886e+00	4.4702e-01	2.8741e+00
SYCE2	13	7914	28	21169	4.8780e-01	1.2419e+00	5.9023e-01	2.4791e+00
SYCE3	2	7925	16	21181	1.8367e-01	3.3407e-01	3.7259e-02	1.4216e+00
SYCN	4	7923	18	21179	4.7349e-01	5.9401e-01	1.4618e-01	1.8041e+00
SYCP1	18	7909	47	21150	8.8997e-01	1.0241e+00	5.5946e-01	1.7983e+00
SYCP2	29	7898	99	21098	2.7407e-01	7.8252e-01	4.9817e-01	1.1951e+00
SYCP2L	16	7911	44	21153	1.0000e+00	9.7230e-01	5.1183e-01	1.7587e+00
SYCP3	7	7920	19	21178	1.0000e+00	9.8515e-01	3.4985e-01	2.4485e+00
SYDE1	29	7898	90	21107	5.3651e-01	8.6113e-01	5.4569e-01	1.3228e+00
SYDE2	33	7894	83	21114	7.5449e-01	1.0634e+00	6.8738e-01	1.6111e+00
SYF2	4	7923	17	21180	4.7284e-01	6.2898e-01	1.5393e-01	1.9292e+00
SYK	28	7899	81	21116	8.2930e-01	9.2409e-01	5.7831e-01	1.4371e+00
SYMPK	58	7869	164	21033	7.6230e-01	9.4530e-01	6.8742e-01	1.2842e+00
SYN1	15	7912	53	21144	4.1321e-01	7.5636e-01	3.9567e-01	1.3630e+00
SYN2	29	7898	67	21130	4.9274e-01	1.1580e+00	7.2142e-01	1.8170e+00
SYN3	12	7915	58	21139	6.0081e-02	5.5256e-01	2.6995e-01	1.0409e+00
SYNC	9	7918	31	21166	5.9601e-01	7.7609e-01	3.2484e-01	1.6710e+00
SYNCRIP	17	7910	42	21155	7.7071e-01	1.0825e+00	5.7737e-01	1.9442e+00
SYNDIG1	12	7915	30	21167	8.6261e-01	1.0697e+00	4.9854e-01	2.1528e+00
SYNDIG1L	6	7921	30	21167	1.9046e-01	5.3445e-01	1.8180e-01	1.3056e+00
SYNE1	243	7684	642	20555	8.7809e-01	1.0125e+00	8.6791e-01	1.1783e+00
SYNE2	178	7749	498	20699	6.3064e-01	9.5478e-01	7.9840e-01	1.1376e+00
SYNE3	43	7884	98	21099	3.9348e-01	1.1742e+00	7.9988e-01	1.6987e+00
SYNE4	10	7917	33	21164	7.3163e-01	8.1008e-01	3.5594e-01	1.6838e+00
SYNGAP1	45	7882	136	21061	5.0378e-01	8.8414e-01	6.1597e-01	1.2483e+00
SYNGR1	16	7911	54	21143	5.0152e-01	7.9190e-01	4.2278e-01	1.4055e+00
SYNGR2	9	7918	28	21169	8.5362e-01	8.5936e-01	3.5660e-01	1.8743e+00
