gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
MAP3K11	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
MAP3K12	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MAP3K13	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
MAP3K15	4	7923	10	21187	1.0000e+00	1.0696e+00	2.4480e-01	3.7097e+00
MAP3K19	3	7924	17	21180	3.1531e-01	4.7169e-01	8.8539e-02	1.6315e+00
MAP3K2	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MAP3K20	2	7925	8	21189	1.0000e+00	6.6846e-01	6.9135e-02	3.3505e+00
MAP3K20-AS1	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MAP3K21	4	7923	7	21190	5.0447e-01	1.5283e+00	3.2799e-01	6.0135e+00
MAP3K3	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MAP3K4	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MAP3K5	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
MAP3K6	4	7923	19	21178	3.5553e-01	5.6272e-01	1.3921e-01	1.6941e+00
MAP3K7	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MAP3K7CL	4	7923	3	21194	9.2831e-02	3.5665e+00	6.0322e-01	2.4352e+01
MAP3K8	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MAP3K9	5	7922	2	21195	1.8787e-02	6.6872e+00	1.0947e+00	7.0378e+01
MAP4	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
MAP4K1	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MAP4K2	3	7924	1	21196	6.4178e-02	8.0236e+00	6.4417e-01	4.2027e+02
MAP4K3	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MAP4K4	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MAP4K5	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
MAP6	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MAP6D1	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MAP7	5	7922	5	21192	1.4838e-01	2.6750e+00	6.1544e-01	1.1624e+01
MAP7D1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MAP7D2	3	7924	3	21194	3.5461e-01	2.6746e+00	3.5815e-01	1.9972e+01
MAP7D3	5	7922	12	21185	7.8991e-01	1.1142e+00	3.0744e-01	3.3991e+00
MAP9	2	7925	9	21188	7.3798e-01	5.9411e-01	6.2454e-02	2.8714e+00
MAPK10	2	7925	0	21197	7.4076e-02	Infinity	5.0223e-01	Infinity
MAPK11	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MAPK12	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
MAPK13	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MAPK15	3	7924	17	21180	3.1531e-01	4.7169e-01	8.8539e-02	1.6315e+00
MAPK1IP1L	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MAPK3	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MAPK4	2	7925	3	21194	6.1810e-01	1.7828e+00	1.4887e-01	1.5561e+01
MAPK6	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MAPK7	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MAPK8	3	7924	2	21195	1.2826e-01	4.0119e+00	4.5949e-01	4.8037e+01
MAPK8IP1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MAPK8IP3	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
MAPK9	2	7925	4	21193	6.6646e-01	1.3371e+00	1.2090e-01	9.3321e+00
MAPKAPK3	4	7923	7	21190	5.0447e-01	1.5283e+00	3.2799e-01	6.0135e+00
MAPKAPK5	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MAPKBP1	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
MAPRE2	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MAPRE3	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MAPT	3	7924	2	21195	1.2826e-01	4.0119e+00	4.5949e-01	4.8037e+01
MAPT-AS1	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
MARC1	2	7925	1	21196	1.8191e-01	5.3488e+00	2.7841e-01	3.1496e+02
